data;caminhao;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos;3
28/12/2017;1;2;;;;;1
29/12/2017;1;1;;;;;1
29/12/2017;1;2;;;;;1
29/12/2017;1;1;;;;;1
29/12/2017;1;5;;;;;1
29/12/2017;1;1;;;;;1
29/12/2017;1;2;1;;;;1
29/12/2017;1;4;;;;;1
29/12/2017;1;4;;;;;1
30/12/2017;1;3;;;;;1
30/12/2017;1;2;;;;;1
30/12/2017;1;2;;;;;1
30/12/2017;1;1;2;;;;1
31/12/2017;1;2;;;;;1
01/01/2018;1;2;;;;;1
02/01/2018;1;3;;;;;1
02/01/2018;1;1;;1;;;2
02/01/2018;2;2;;;;;1
02/01/2018;2;2;;;;;1
02/01/2018;2;2;;;;;1
02/01/2018;1;2;;;;;1
02/01/2018;1;2;;;;;1
02/01/2018;1;2;;;;;1
02/01/2018;2;5;;;;;1
02/01/2018;1;2;;;;;1
03/01/2018;2;5;;;;;1
03/01/2018;1;2;;;;;1
03/01/2018;1;2;;;;;1
03/01/2018;2;2;;;;;1
03/01/2018;1;2;;;;;1
03/01/2018;1;2;;;;;1
03/01/2018;2;3;;;;;1
03/01/2018;1;2;;;;;1
04/01/2018;1;2;;;;;1
04/01/2018;1;2;;;;;1
04/01/2018;1;2;;;;;1
04/01/2018;1;2;;;;;1
04/01/2018;1;1;;;;;1
05/01/2018;1;1;;;;;1
05/01/2018;1;2;;;;;1
05/01/2018;1;2;;;;;1
05/01/2018;1;7;;;;;1
05/01/2018;1;2;;;;;1
05/01/2018;1;1;;;;;1
06/01/2018;1;3;;;;;1
06/01/2018;1;2;;;;;1
06/01/2018;1;3;;;;;1
06/01/2018;1;1;1;;;;1
06/01/2018;1;2;;;;;1
06/01/2018;1;2;;;;;1
06/01/2018;1;3;;;;;1
07/01/2018;1;2;;;;;1
07/01/2018;1;2;;;;;1
07/01/2018;1;1;;;;;1
08/01/2018;1;3;;;;;1
08/01/2018;1;4;4;;;;1
09/01/2018;1;0;1;;;;1
09/01/2018;1;2;;;;;1
09/01/2018;1;1;2;;;;1
09/01/2018;2;2;;;;;1
09/01/2018;1;2;;;;;1
09/01/2018;2;1;3;;;;1
09/01/2018;1;2;;;;;1
10/01/2018;2;2;;;;;1
10/01/2018;1;2;;;;;1
10/01/2018;1;5;;;;;1
10/01/2018;2;2;;;;;1
10/01/2018;1;1;;;;;1
10/01/2018;1;1;;;;;1
10/01/2018;1;1;;;;;1
10/01/2018;2;2;;;;;1
10/01/2018;1;2;;;;;1
11/01/2018;1;2;;;;;1
11/01/2018;1;2;;;;;1
11/01/2018;2;3;;;;;1
11/01/2018;1;3;;;;;1
11/01/2018;2;2;;;;;1
11/01/2018;1;2;;;;;1
11/01/2018;1;1;;;;;1
11/01/2018;1;2;;;;;1
11/01/2018;1;1;;;;;1
11/01/2018;1;2;;;;;1
11/01/2018;1;2;;;;;1
12/01/2018;2;3;;;;;1
12/01/2018;1;2;;;;;1
12/01/2018;1;2;;;;;1
12/01/2018;1;2;;;;;1
12/01/2018;1;2;;;;;1
13/01/2018;1;1;;;;;1
13/01/2018;1;2;;;;;1
13/01/2018;1;2;;;;;1
13/01/2018;1;1;;;;;1
13/01/2018;2;2;;;;;1
13/01/2018;1;1;1;;;;1
14/01/2018;1;1;1;;;;1
14/01/2018;1;2;;;;;1
14/01/2018;2;3;;;;;1
14/01/2018;1;2;;;;;1
15/01/2018;1;2;;;;;1
15/01/2018;1;2;;;;;1
15/01/2018;1;3;1;;;;1
16/01/2018;1;2;;;;;1
16/01/2018;1;4;;;;;1
16/01/2018;1;2;;;;;1
16/01/2018;2;1;;;1;;2
16/01/2018;1;3;;;;;1
16/01/2018;1;2;;;;;1
16/01/2018;1;1;1;;;;1
16/01/2018;1;2;;;;;1
16/01/2018;1;1;;;;;1
16/01/2018;2;3;;;;;1
17/01/2018;1;1;;;;;1
17/01/2018;2;2;;;;;1
17/01/2018;1;1;1;;;;1
17/01/2018;1;1;;;;;1
17/01/2018;1;1;;;;;1
17/01/2018;1;2;;;;;1
17/01/2018;1;1;;;;;1
17/01/2018;1;1;;;;;1
18/01/2018;1;1;;;;;1
18/01/2018;1;1;;;;;1
18/01/2018;1;1;;;;;1
18/01/2018;1;2;;;;;1
18/01/2018;1;9;;;;;1
18/01/2018;2;2;;;;;1
19/01/2018;1;2;;;;;1
19/01/2018;1;1;;;;;1
19/01/2018;1;2;;;;;1
19/01/2018;1;2;;;;;1
19/01/2018;1;1;;;;;1
19/01/2018;2;4;1;;;;1
19/01/2018;1;3;;;;;1
19/01/2018;1;3;;;;;1
19/01/2018;1;1;;;;;1
19/01/2018;1;2;;;;;1
19/01/2018;1;1;1;;;;1
19/01/2018;1;1;1;;;;1
20/01/2018;1;3;;;;;1
20/01/2018;1;1;;;;;1
20/01/2018;1;2;;;;;1
20/01/2018;1;2;;;;;1
20/01/2018;1;2;;;;;1
20/01/2018;1;2;;;;;1
20/01/2018;1;3;;;;;1
21/01/2018;1;2;;;;;1
21/01/2018;1;2;;;;;1
21/01/2018;1;2;;;;;1
21/01/2018;1;1;;;;;1
21/01/2018;1;3;;;;;1
21/01/2018;1;2;;;;;1
22/01/2018;1;0;;1;;;2
22/01/2018;1;5;;;;;1
22/01/2018;1;1;;;;;1
22/01/2018;2;2;;;;;1
22/01/2018;1;9;;;;;1
22/01/2018;1;1;;;;;1
22/01/2018;1;1;;;;;1
23/01/2018;1;3;;;;;1
23/01/2018;1;2;;;;;1
23/01/2018;1;2;;;;;1
23/01/2018;1;3;;;;;1
23/01/2018;1;2;;;;;1
23/01/2018;2;4;;;;;1
23/01/2018;1;1;;;;;1
24/01/2018;1;1;1;;;;1
24/01/2018;2;5;;;;;1
24/01/2018;1;3;;;;;1
24/01/2018;1;1;1;;;;1
24/01/2018;1;2;;;;;1
24/01/2018;1;2;;;;;1
24/01/2018;1;2;;;;;1
24/01/2018;1;2;3;;1;;2
24/01/2018;1;1;;1;;;2
25/01/2018;1;1;;;;;1
25/01/2018;1;2;;;;;1
25/01/2018;1;1;;;;;1
25/01/2018;1;1;;;;1;3
25/01/2018;1;2;;;;;1
25/01/2018;1;3;;;;;1
25/01/2018;1;2;;;;;1
25/01/2018;1;3;;;;;1
25/01/2018;2;1;1;;;;1
26/01/2018;2;1;1;;;;1
26/01/2018;1;2;;;;;1
26/01/2018;1;1;;;;;1
26/01/2018;1;3;;;;;1
26/01/2018;1;1;;;;;1
26/01/2018;3;3;;;;;1
26/01/2018;1;1;;1;;;2
26/01/2018;1;1;1;;;;1
26/01/2018;2;2;;;;;1
27/01/2018;1;1;;;;;1
27/01/2018;2;2;;;;;1
27/01/2018;2;2;;;;;1
27/01/2018;1;1;;;;1;3
27/01/2018;1;2;;;;;1
27/01/2018;1;1;;;1;;2
27/01/2018;1;2;;;;;1
27/01/2018;1;2;;;;;1
27/01/2018;2;2;;;;;1
27/01/2018;2;2;;;;;1
27/01/2018;1;2;;;;;1
28/01/2018;1;1;;;;;1
28/01/2018;1;1;;;;;1
29/01/2018;1;2;;;;;1
29/01/2018;1;1;;;;;1
29/01/2018;1;0;2;;;;1
29/01/2018;1;1;;1;;;2
29/01/2018;1;3;;;;;1
29/01/2018;1;1;1;;;;1
29/01/2018;1;1;3;;;;1
29/01/2018;1;2;;;;;1
30/01/2018;1;1;;;;;1
30/01/2018;1;2;;;;;1
30/01/2018;1;2;1;;;;1
30/01/2018;1;2;;;;;1
31/01/2018;1;1;;;;;1
31/01/2018;1;1;;;;1;3
31/01/2018;1;2;;;;;1
31/01/2018;1;1;1;;;;1
31/01/2018;1;2;;;;;1
31/01/2018;1;2;;;;;1
31/01/2018;2;4;;;;;1
31/01/2018;1;3;;;;;1
31/01/2018;1;2;;;;;1
31/01/2018;1;2;;;;;1
31/01/2018;2;2;;;;;1
31/01/2018;1;2;;;;;1
01/02/2018;3;3;;;;;1
01/02/2018;1;2;;;;;1
01/02/2018;1;2;;;;;1
01/02/2018;3;7;;;;;1
01/02/2018;1;2;;;;;1
01/02/2018;1;3;;;;;1
01/02/2018;2;2;;;;;1
01/02/2018;1;3;;;;;1
01/02/2018;1;2;;;;;1
01/02/2018;2;2;;;;;1
01/02/2018;4;5;;;;;1
01/02/2018;1;1;;;;;1
01/02/2018;1;2;;;;;1
02/02/2018;1;1;;;;;1
02/02/2018;1;2;1;;;;1
02/02/2018;1;3;;;;;1
02/02/2018;1;2;;;;;1
02/02/2018;1;2;;;;;1
03/02/2018;2;2;;;;;1
03/02/2018;1;2;;;;;1
04/02/2018;1;4;;;;;1
05/02/2018;1;2;;;;;1
05/02/2018;1;2;;;;;1
05/02/2018;1;2;;;;;1
05/02/2018;1;2;;;;;1
05/02/2018;1;2;;;;;1
06/02/2018;1;3;2;;;;1
06/02/2018;2;2;;;;;1
06/02/2018;1;3;;;;;1
06/02/2018;1;2;;;;;1
06/02/2018;1;4;;1;;;2
07/02/2018;1;3;;;;;1
07/02/2018;1;2;;;;;1
07/02/2018;1;2;1;;;;1
07/02/2018;1;2;;;;;1
07/02/2018;1;2;1;;;;1
07/02/2018;1;2;;;;;1
07/02/2018;1;4;;;;;1
07/02/2018;1;2;;;;;1
07/02/2018;1;3;;;;;1
07/02/2018;1;2;;;;;1
07/02/2018;1;2;;;;;1
07/02/2018;1;1;;;;;1
08/02/2018;1;2;;;;;1
08/02/2018;1;1;;;;;1
08/02/2018;2;3;;;;;1
08/02/2018;1;1;1;;;;1
08/02/2018;1;2;;;;;1
09/02/2018;1;2;;;;;1
09/02/2018;1;2;;;;;1
09/02/2018;2;1;1;;;;1
09/02/2018;1;2;;;;;1
09/02/2018;2;2;;;;;1
09/02/2018;2;2;;;;;1
09/02/2018;1;1;;;;;1
09/02/2018;1;2;;;;;1
09/02/2018;1;2;;;;;1
10/02/2018;1;3;;;;;1
10/02/2018;2;4;2;;;;1
10/02/2018;1;1;1;;;;1
11/02/2018;1;2;;;;;1
11/02/2018;1;2;;;;;1
11/02/2018;1;1;;;;;1
12/02/2018;1;2;1;;;;1
12/02/2018;1;1;;;;;1
12/02/2018;1;1;1;;;;1
13/02/2018;1;1;;;;;1
13/02/2018;1;2;;;;;1
13/02/2018;2;2;;;;;1
13/02/2018;1;2;;;;;1
14/02/2018;2;1;1;;;;1
14/02/2018;1;3;;;;;1
14/02/2018;1;2;;;;;1
14/02/2018;1;2;;;;;1
14/02/2018;1;2;;;;;1
15/02/2018;1;2;;;;;1
15/02/2018;2;2;;;;;1
15/02/2018;2;3;;;;;1
16/02/2018;1;2;;;;;1
16/02/2018;1;2;;;;;1
16/02/2018;1;3;;;;;1
16/02/2018;1;2;;;;;1
16/02/2018;1;2;;;;;1
16/02/2018;1;6;;;;;1
17/02/2018;1;2;;;;;1
17/02/2018;1;3;;;;;1
18/02/2018;1;2;;;;;1
19/02/2018;1;3;1;;;;1
19/02/2018;1;2;;;;;1
19/02/2018;2;2;;;;;1
19/02/2018;1;2;;;;;1
19/02/2018;1;1;;1;;;2
20/02/2018;1;2;;;;;1
20/02/2018;1;2;;;;;1
20/02/2018;1;1;;;;;1
20/02/2018;1;1;;;;;1
20/02/2018;2;2;;;;;1
21/02/2018;1;2;1;;;;1
21/02/2018;1;2;;;;;1
21/02/2018;1;2;;;;;1
21/02/2018;1;2;;;;;1
21/02/2018;1;1;;;;;1
21/02/2018;1;2;;;;;1
22/02/2018;1;1;;;;;1
22/02/2018;1;1;1;;;;1
22/02/2018;2;2;;;;;1
22/02/2018;1;3;;;;;1
22/02/2018;1;2;;;;;1
22/02/2018;1;2;;;;;1
22/02/2018;1;1;;;;;1
22/02/2018;1;1;;;;;1
23/02/2018;1;1;;;;;1
23/02/2018;1;0;1;;;;1
23/02/2018;1;4;;;;;1
23/02/2018;1;0;1;;;;1
23/02/2018;1;2;;;;;1
23/02/2018;1;2;;;;;1
23/02/2018;1;2;;;;;1
23/02/2018;2;2;;;;;1
23/02/2018;2;2;;;;;1
23/02/2018;1;1;2;;;;1
23/02/2018;1;1;;;;;1
23/02/2018;1;2;;;;;1
23/02/2018;1;3;1;;;;1
23/02/2018;2;3;;;;;1
24/02/2018;1;1;2;;;;1
24/02/2018;1;2;;;;;1
24/02/2018;1;1;;;;;1
24/02/2018;1;2;1;;;;1
25/02/2018;1;1;;;;;1
25/02/2018;1;2;;;;;1
26/02/2018;1;2;;;;;1
26/02/2018;1;1;;;1;;2
26/02/2018;2;2;1;;;;1
26/02/2018;1;1;;;;;1
26/02/2018;2;1;;;1;;2
27/02/2018;2;3;;;;;1
27/02/2018;1;5;;;;;1
27/02/2018;1;4;;;;;1
27/02/2018;1;2;;;;;1
27/02/2018;1;2;;;;;1
27/02/2018;1;0;;;;1;3
28/02/2018;1;1;;;;;1
28/02/2018;1;3;;;;;1
28/02/2018;1;2;;;1;;2
28/02/2018;2;3;;;;;1
28/02/2018;1;2;;;;;1
28/02/2018;1;2;;;;;1
28/02/2018;1;2;;;;;1
28/02/2018;1;1;;;;;1
28/02/2018;1;0;;;1;;2
28/02/2018;1;1;;;;;1
28/02/2018;1;2;;;;;1
01/03/2018;1;3;;;;;1
01/03/2018;1;2;;;;;1
01/03/2018;2;3;;;;;1
01/03/2018;1;1;1;;;;1
01/03/2018;1;1;;;;;1
01/03/2018;2;1;;1;;;2
01/03/2018;1;2;;;1;;2
02/03/2018;1;5;;;;;1
02/03/2018;2;2;;;;;1
02/03/2018;1;2;;;;;1
03/03/2018;1;1;;;;;1
03/03/2018;3;4;;;;;1
03/03/2018;1;2;;;;;1
03/03/2018;1;3;;;;;1
03/03/2018;2;2;;;;;1
03/03/2018;1;2;;;;;1
04/03/2018;1;2;;;;;1
04/03/2018;1;2;;;;;1
04/03/2018;1;2;1;;;;1
04/03/2018;1;1;;;;;1
04/03/2018;1;1;;;;;1
05/03/2018;1;2;;;;;1
05/03/2018;1;1;;;;;1
05/03/2018;1;0;1;;;;1
05/03/2018;1;1;;;;;1
06/03/2018;1;2;;;;;1
06/03/2018;4;4;1;;;;1
06/03/2018;1;2;;;;;1
06/03/2018;2;2;;;;;1
06/03/2018;1;1;1;;;;1
07/03/2018;1;1;;;;;1
07/03/2018;1;1;;;;;1
07/03/2018;2;2;;;;;1
07/03/2018;2;2;;;;;1
07/03/2018;1;1;;;;;1
07/03/2018;2;2;;;;;1
07/03/2018;2;2;;;;;1
07/03/2018;1;1;2;;;;1
08/03/2018;1;2;;;;;1
08/03/2018;1;2;;;;;1
08/03/2018;2;2;;;;;1
08/03/2018;2;2;;;;;1
09/03/2018;1;1;;;;;1
09/03/2018;1;1;;;;;1
09/03/2018;3;7;;;;;1
09/03/2018;1;2;;;;;1
09/03/2018;1;3;;;;;1
09/03/2018;2;2;;;;;1
09/03/2018;1;2;;;;;1
09/03/2018;3;3;;;;;1
09/03/2018;1;4;1;;;;1
09/03/2018;1;2;;;;;1
09/03/2018;2;4;;;;;1
09/03/2018;1;3;;;;;1
10/03/2018;1;2;1;;;;1
10/03/2018;1;2;;;;;1
10/03/2018;1;2;;;;;1
10/03/2018;1;3;;;;;1
10/03/2018;1;1;;;;;1
10/03/2018;2;1;1;1;;;2
10/03/2018;1;2;;;;;1
11/03/2018;2;2;;;;;1
11/03/2018;1;2;;;;;1
11/03/2018;2;4;;;;;1
11/03/2018;1;2;2;;;;1
12/03/2018;1;2;;;;;1
12/03/2018;1;2;;;;;1
12/03/2018;1;1;;;;;1
13/03/2018;3;1;;1;;1;3
13/03/2018;1;7;;;;;1
13/03/2018;1;1;;;;;1
13/03/2018;1;2;;;;;1
13/03/2018;1;2;;;;;1
13/03/2018;1;2;1;1;;;2
13/03/2018;1;2;;;;;1
14/03/2018;3;1;;1;;1;3
14/03/2018;1;1;;;;;1
14/03/2018;1;2;;;;;1
14/03/2018;1;1;;;;;1
14/03/2018;2;2;;;;;1
14/03/2018;1;1;2;;;;1
14/03/2018;1;2;;;;;1
14/03/2018;1;2;;;;;1
14/03/2018;1;1;;;;;1
14/03/2018;1;1;;;;;1
14/03/2018;1;1;;;;;1
14/03/2018;1;4;;;;;1
14/03/2018;1;1;;;;;1
14/03/2018;1;1;;;;;1
14/03/2018;2;2;;;;;1
15/03/2018;1;1;;;;;1
15/03/2018;1;1;;;;;1
15/03/2018;1;2;;;;;1
15/03/2018;1;1;;;;;1
15/03/2018;1;2;;;;;1
15/03/2018;1;1;;;;;1
15/03/2018;1;3;;;;;1
15/03/2018;1;1;;;;;1
15/03/2018;1;2;;;;;1
16/03/2018;1;2;;;;;1
16/03/2018;1;1;;;;;1
16/03/2018;1;1;;;;;1
16/03/2018;1;2;;;;;1
16/03/2018;2;2;;;;;1
16/03/2018;1;2;;;;;1
16/03/2018;2;3;;;;;1
16/03/2018;1;2;;;;;1
16/03/2018;1;2;;;;;1
17/03/2018;1;2;;;;;1
17/03/2018;1;2;;;;;1
18/03/2018;1;3;;;;;1
19/03/2018;1;1;;;;;1
19/03/2018;2;2;;;;;1
19/03/2018;1;2;;;;;1
19/03/2018;1;1;;;;;1
20/03/2018;2;2;;;;;1
20/03/2018;2;2;;;;;1
20/03/2018;1;0;1;;;;1
20/03/2018;1;1;;;;;1
20/03/2018;1;3;;;;;1
20/03/2018;1;2;;;;;1
20/03/2018;1;1;1;;;;1
20/03/2018;1;0;1;;;;1
20/03/2018;1;3;;;;;1
20/03/2018;1;1;;;;;1
21/03/2018;1;1;;;;;1
21/03/2018;1;2;;;;;1
21/03/2018;1;1;;;;;1
21/03/2018;1;2;;;;;1
21/03/2018;1;2;;;;;1
21/03/2018;1;2;;;;;1
21/03/2018;1;1;;;;;1
22/03/2018;2;2;;;;;1
22/03/2018;1;1;;;;;1
22/03/2018;1;1;;;;;1
22/03/2018;1;2;;;;;1
22/03/2018;1;1;1;;;;1
22/03/2018;1;0;1;;;;1
23/03/2018;1;1;;;;;1
23/03/2018;1;0;1;;;;1
23/03/2018;1;3;;;;;1
23/03/2018;1;2;2;;;;1
23/03/2018;1;2;;;;;1
23/03/2018;1;3;;;;;1
23/03/2018;1;2;;;;;1
23/03/2018;1;2;;;;;1
23/03/2018;1;2;;;;;1
23/03/2018;1;2;;;;;1
24/03/2018;1;2;1;;;;1
24/03/2018;1;1;1;;;;1
24/03/2018;1;1;;;;;1
24/03/2018;1;2;;;;;1
24/03/2018;1;2;;;;;1
24/03/2018;1;3;2;;;;1
25/03/2018;2;2;;;;;1
25/03/2018;1;0;1;;;;1
25/03/2018;1;1;1;;;;1
25/03/2018;1;2;;;;;1
25/03/2018;1;4;;;;;1
26/03/2018;1;1;;;;;1
26/03/2018;1;0;1;;;;1
26/03/2018;2;6;;;;;1
26/03/2018;1;2;1;;;;1
26/03/2018;1;2;;;;;1
26/03/2018;1;1;;;;;1
26/03/2018;1;4;;;;;1
26/03/2018;1;1;;;;;1
26/03/2018;1;2;;;;;1
26/03/2018;1;2;1;;;;1
26/03/2018;1;2;;;;;1
26/03/2018;1;1;;;;;1
27/03/2018;1;2;1;;;;1
27/03/2018;1;2;;;;;1
27/03/2018;1;2;;;;;1
27/03/2018;1;2;;;;;1
27/03/2018;1;1;;;;;1
27/03/2018;1;2;;;;;1
28/03/2018;1;2;;;;;1
28/03/2018;1;2;;2;;;2
28/03/2018;1;2;;;;;1
28/03/2018;1;2;;;;;1
28/03/2018;1;2;;;;;1
29/03/2018;1;3;2;;;;1
29/03/2018;1;1;;;;;1
29/03/2018;2;1;1;;;;1
29/03/2018;1;1;;;;;1
29/03/2018;1;1;;;;;1
29/03/2018;1;2;;;;;1
29/03/2018;1;3;1;;;;1
29/03/2018;1;2;;;;;1
29/03/2018;2;2;;;;;1
29/03/2018;1;2;;;;;1
29/03/2018;1;2;;;;;1
30/03/2018;1;2;;;;;1
30/03/2018;1;2;;;;;1
30/03/2018;1;0;;;1;;2
30/03/2018;1;2;;;;;1
31/03/2018;2;3;;;;;1
31/03/2018;1;4;2;;;;1
01/04/2018;1;1;;;;;1
02/04/2018;1;2;1;;;;1
02/04/2018;1;2;;;;;1
02/04/2018;1;2;;;;;1
03/04/2018;1;2;;;;;1
03/04/2018;2;1;;1;;;2
03/04/2018;1;2;;;;;1
03/04/2018;1;2;;;;;1
03/04/2018;1;2;;;;;1
03/04/2018;1;2;;;;;1
04/04/2018;1;1;;;;;1
04/04/2018;1;1;;1;;;2
04/04/2018;1;1;1;;;;1
04/04/2018;1;1;;;;;1
04/04/2018;1;2;;;;;1
04/04/2018;1;4;;;;;1
04/04/2018;1;1;;;;;1
04/04/2018;1;2;;;;;1
04/04/2018;1;2;;;;;1
04/04/2018;1;1;;;;;1
05/04/2018;1;0;1;;;;1
05/04/2018;1;2;;;;;1
05/04/2018;1;1;;;;;1
05/04/2018;1;1;;;;;1
05/04/2018;1;2;;;;;1
05/04/2018;1;2;;;;;1
06/04/2018;3;3;;1;;1;3
06/04/2018;1;1;1;;;;1
06/04/2018;1;2;;;;;1
06/04/2018;1;1;1;;;;1
07/04/2018;2;3;;;;;1
07/04/2018;1;1;;;;;1
07/04/2018;1;1;;;;;1
07/04/2018;1;1;;;;;1
08/04/2018;1;2;;;;;1
08/04/2018;1;2;;;;;1
09/04/2018;1;2;1;;;;1
09/04/2018;2;2;;;;;1
09/04/2018;1;2;1;;;;1
09/04/2018;1;1;;;;;1
09/04/2018;1;2;;;;;1
10/04/2018;1;2;;;;;1
10/04/2018;1;2;;;;;1
10/04/2018;1;3;1;;;;1
10/04/2018;1;2;;;;;1
10/04/2018;2;2;;;;;1
10/04/2018;1;2;;;;;1
10/04/2018;1;2;;;;;1
10/04/2018;1;1;;;;;1
11/04/2018;1;2;;;;;1
11/04/2018;1;2;;;;;1
11/04/2018;1;4;;;;;1
11/04/2018;1;3;;;;;1
12/04/2018;1;1;;;;;1
12/04/2018;2;2;;;;;1
12/04/2018;2;1;;;;1;3
13/04/2018;2;2;;;;;1
13/04/2018;1;3;;;;;1
13/04/2018;1;4;1;;;;1
13/04/2018;1;2;;;;;1
14/04/2018;1;1;;;;;1
14/04/2018;1;2;;;;;1
14/04/2018;2;3;;;;;1
14/04/2018;1;2;;;;;1
14/04/2018;1;2;;;;;1
14/04/2018;1;2;1;;;;1
15/04/2018;1;2;;;;;1
15/04/2018;1;2;;;;;1
16/04/2018;1;1;;;;2;3
16/04/2018;1;1;1;;;;1
16/04/2018;1;2;;;;;1
16/04/2018;1;2;;;;;1
16/04/2018;1;2;;;;;1
16/04/2018;1;2;;;;;1
17/04/2018;1;1;;;;;1
17/04/2018;2;2;;;;;1
17/04/2018;1;1;;;;;1
18/04/2018;1;2;;;;;1
18/04/2018;1;5;;;;;1
18/04/2018;1;1;;1;;;2
18/04/2018;1;1;;;;1;3
18/04/2018;1;1;1;;;;1
19/04/2018;1;3;;;;;1
19/04/2018;1;1;;1;;;2
20/04/2018;2;2;;;;;1
20/04/2018;3;3;;;;;1
20/04/2018;1;1;;;;;1
20/04/2018;2;2;;;;;1
21/04/2018;1;1;;;;;1
21/04/2018;1;2;;;;;1
21/04/2018;1;4;;;;;1
21/04/2018;1;2;;;;;1
22/04/2018;1;3;2;;;;1
22/04/2018;1;1;;;;;1
22/04/2018;1;4;;1;;;2
23/04/2018;1;2;;;;;1
23/04/2018;1;1;;;;;1
23/04/2018;1;3;3;;;;1
24/04/2018;2;2;;;;;1
24/04/2018;1;2;;;;;1
24/04/2018;1;1;1;;;;1
24/04/2018;1;1;;;;;1
24/04/2018;1;2;;;;;1
24/04/2018;1;1;;;;;1
25/04/2018;2;4;;;;;1
25/04/2018;1;2;;;;;1
25/04/2018;1;1;1;;;;1
25/04/2018;2;2;;;;;1
25/04/2018;3;1;1;1;;;2
25/04/2018;1;1;;;;;1
25/04/2018;1;2;;;;;1
26/04/2018;1;1;;;;;1
26/04/2018;1;1;;;;;1
26/04/2018;1;2;;;;;1
26/04/2018;1;3;;;;;1
26/04/2018;1;2;;;;;1
27/04/2018;2;1;;;1;;2
27/04/2018;1;3;;;;;1
27/04/2018;1;1;;;;;1
27/04/2018;1;2;;;;;1
27/04/2018;1;3;;;;;1
27/04/2018;2;3;;;;;1
27/04/2018;1;2;;;;;1
29/04/2018;1;4;14;;1;1;3
29/04/2018;1;2;;;;;1
29/04/2018;2;2;;;;;1
29/04/2018;2;2;1;;;;1
29/04/2018;1;1;;;;;1
29/04/2018;1;1;;;;1;3
30/04/2018;1;1;1;;;;1
30/04/2018;1;2;2;;;;1
30/04/2018;1;2;;;;;1
01/08/2018;1;1;;;;;1
01/08/2018;1;1;;;;;1
01/08/2018;1;1;;;;;1
01/08/2018;1;2;;;;;1
01/08/2018;1;2;;;1;;2
01/08/2018;1;0;2;;;;1
01/08/2018;1;2;;;;;1
01/08/2018;1;3;;;;;1
01/08/2018;1;1;1;;;;1
02/08/2018;2;2;;;;;1
02/08/2018;1;2;;;;;1
02/08/2018;1;2;;;;;1
02/08/2018;2;2;1;;;;1
02/08/2018;1;2;;;;;1
02/08/2018;1;2;1;;;;1
02/08/2018;1;2;2;;;;1
02/08/2018;1;1;;;;;1
02/08/2018;2;4;;;;;1
02/08/2018;1;1;;;;;1
03/08/2018;1;1;;;;;1
03/08/2018;1;0;;2;;;2
03/08/2018;3;1;1;;;1;3
03/08/2018;2;5;2;;;;1
03/08/2018;1;4;;;;;1
03/08/2018;1;2;;;;;1
03/08/2018;1;1;3;;;;1
03/08/2018;1;3;;;;;1
03/08/2018;1;1;;;;;1
03/08/2018;1;2;;;;;1
03/08/2018;1;1;;;;;1
04/08/2018;1;1;;;;;1
04/08/2018;1;1;;;;1;3
05/08/2018;1;2;2;1;;;2
06/08/2018;1;2;;;;;1
06/08/2018;2;2;;;;;1
06/08/2018;1;1;;1;;;2
06/08/2018;1;2;;;;;1
06/08/2018;1;2;;;;;1
06/08/2018;1;2;;;;;1
06/08/2018;1;2;;;;;1
07/08/2018;1;2;;;;;1
07/08/2018;1;2;;;;;1
07/08/2018;1;2;;;;;1
07/08/2018;1;1;1;;;;1
07/08/2018;1;2;;;;;1
07/08/2018;1;2;;;;;1
08/08/2018;1;3;;;;;1
08/08/2018;1;4;1;;1;;2
09/08/2018;1;2;;;;;1
09/08/2018;1;2;;;;;1
09/08/2018;1;3;2;;;;1
09/08/2018;1;2;;;;;1
10/08/2018;2;2;;;;;1
10/08/2018;1;2;;;;;1
10/08/2018;1;2;;;;;1
10/08/2018;1;2;;;;;1
10/08/2018;1;1;;;;;1
10/08/2018;1;3;;;1;;2
11/08/2018;1;1;;;;;1
11/08/2018;1;2;1;;;;1
11/08/2018;1;1;1;;;;1
11/08/2018;1;3;;;;;1
12/08/2018;1;2;;;;;1
12/08/2018;1;2;;;;;1
12/08/2018;1;2;;;;;1
13/08/2018;2;2;;;;;1
14/08/2018;1;2;;;;;1
14/08/2018;1;2;;;;;1
14/08/2018;1;3;;;;;1
14/08/2018;1;2;;;;;1
14/08/2018;1;0;;;1;;2
14/08/2018;1;2;;;;;1
14/08/2018;1;3;;;;;1
14/08/2018;1;2;;;;;1
14/08/2018;2;2;;;;;1
15/08/2018;1;2;1;;;;1
15/08/2018;1;2;;;;;1
15/08/2018;2;2;;;;;1
15/08/2018;2;2;;;;;1
15/08/2018;1;2;;;;;1
16/08/2018;1;2;;;;;1
16/08/2018;1;2;;;;;1
16/08/2018;1;2;;;;;1
17/08/2018;1;1;;;;;1
17/08/2018;1;1;1;;;;1
17/08/2018;1;1;;;;;1
17/08/2018;1;2;;;;;1
17/08/2018;1;2;;;;;1
17/08/2018;1;2;;;;;1
18/08/2018;1;2;;;;;1
18/08/2018;1;2;;;;;1
18/08/2018;1;2;;;;;1
19/08/2018;1;2;;;;;1
19/08/2018;1;1;;;;;1
20/08/2018;1;2;;;;;1
20/08/2018;2;2;;;;;1
20/08/2018;1;1;;;;;1
21/08/2018;1;2;2;;;;1
